Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,100.0
2020-03-08,100.0
2020-03-09,100.0
2020-03-10,100.0
2020-03-11,100.0
2020-03-12,100.0
2020-03-13,100.0
2020-03-14,100.0
2020-03-15,40.0
2020-03-16,40.0
2020-03-17,40.0
2020-03-18,40.0
2020-03-19,50.0
2020-03-20,50.0
2020-03-21,57.14
2020-03-22,12.9
2020-03-23,7.27
2020-03-24,10.34
2020-03-25,13.33
2020-03-26,14.29
2020-03-27,15.29
2020-03-28,20.88
2020-03-29,18.02
2020-03-30,9.16
2020-03-31,10.11
2020-04-01,11.43
2020-04-02,12.33
2020-04-03,13.64
2020-04-04,13.35
2020-04-05,14.11
2020-04-06,14.02
2020-04-07,15.08
2020-04-08,15.37
2020-04-09,17.79
2020-04-10,17.94
2020-04-11,16.82
2020-04-12,16.13
2020-04-13,15.99
2020-04-14,15.43
2020-04-15,15.82
2020-04-16,16.2
2020-04-17,15.59
2020-04-18,16.16
2020-04-19,15.9
2020-04-20,16.15
2020-04-21,15.24
2020-04-22,15.42
2020-04-23,15.22
2020-04-24,15.28
2020-04-25,15.23
2020-04-26,14.78
2020-04-27,14.73
2020-04-28,15.12
2020-04-29,15.22
2020-04-30,14.79
2020-05-01,14.83
2020-05-02,15.22
2020-05-03,15.38
2020-05-04,15.28
2020-05-05,15.21
2020-05-06,15.19
2020-05-07,14.98
2020-05-08,15.01
2020-05-09,14.79
2020-05-10,14.79
2020-05-11,14.6
2020-05-12,14.63
2020-05-13,12.68
