Date,Currently Infected
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,4
2020-02-21,19
2020-02-22,75
2020-02-23,152
2020-02-24,221
2020-02-25,310
2020-02-26,455
2020-02-27,593
2020-02-28,822
2020-02-29,1049
2020-03-01,1577
2020-03-02,1835
2020-03-03,2263
2020-03-04,2706
2020-03-05,3296
2020-03-06,3916
2020-03-07,5061
2020-03-08,6387
2020-03-09,7985
2020-03-10,8514
2020-03-11,10590
2020-03-12,12839
2020-03-13,14955
2020-03-14,17750
2020-03-15,20603
2020-03-16,23073
2020-03-17,26062
2020-03-18,28710
2020-03-19,33190
2020-03-20,37860
2020-03-21,42681
2020-03-22,46638
2020-03-23,50418
2020-03-24,54030
2020-03-25,57521
2020-03-26,62013
2020-03-27,66414
2020-03-28,70065
2020-03-29,73880
2020-03-30,75528
2020-03-31,77635
2020-04-01,80572
2020-04-02,83049
2020-04-03,85388
2020-04-04,88274
2020-04-05,91246
2020-04-06,93187
2020-04-07,94067
2020-04-08,95262
2020-04-09,96877
2020-04-10,98273
2020-04-11,100269
2020-04-12,102253
2020-04-13,103616
2020-04-14,104291
2020-04-15,105418
2020-04-16,106607
2020-04-17,106962
2020-04-18,107771
2020-04-19,108257
2020-04-20,108237
2020-04-21,107709
2020-04-22,107699
2020-04-23,106848
2020-04-24,106527
2020-04-25,105847
2020-04-26,106103
2020-04-27,105813
2020-04-28,105205
2020-04-29,104657
2020-04-30,101551
2020-05-01,100943
2020-05-02,100704
2020-05-03,100179
2020-05-04,99980
2020-05-05,98467
2020-05-06,91528
2020-05-07,89624
2020-05-08,87961
2020-05-09,84842
2020-05-10,83324
2020-05-11,82488
2020-05-12,81266
2020-05-13,78457
2020-05-14,76440
2020-05-15,72070
2020-05-16,70187
2020-05-17,68351
2020-05-18,66553
2020-05-19,65129
2020-05-20,62752
2020-05-21,60960
2020-05-22,59322
2020-05-23,57752
2020-05-24,56594
2020-05-25,55300
2020-05-26,52942
2020-05-27,50966
2020-05-28,47986
2020-05-29,46175
